FuncionarioID,Nome,MacroAreaEspecialidade,CompetenciasChave,NivelSenioridade,CargaDisponivelHoras,TecnologiasPreferenciais,Observacao
EMP001,Ana Paula Martins,Saude,Product Owner Saude|Gestao Stakeholders|Mapeamento Jornada Paciente,Senior,120,SIGA Saude|FHIR|Power BI,Experiencia com integracoes HL7 em ambientes municipais
EMP002,Ricardo Lopes,Saude,Dev Fullstack|Node.js|React|SQL Server,Pleno,160,TypeScript|Next.js|Docker,Atuou em squads de telemedicina
EMP003,Juliana Crepaldi,TributosFinancas,Analista Tributario|Domain Driven Design|Regras Fiscalizacao,Senior,100,Oracle|Power BI|EPM,Especialista em cobranca ativa e negoc. fiscal
EMP004,Marcos Oliveira,TributosFinancas,Dev Backend|Java|Spring|Batch Processing,Senior,140,Java|Spring Batch|Kafka,Responsavel por rotinas batch de arrecadacao
EMP005,Sofia Andrade,Mobilidade,Especialista Mobilidade|Design de Servicos|Analise Processos,Senior,110,ArcGIS|Power Apps|Power BI,Conduziu discovery de mobilidade urbana SMT
EMP006,Felipe Duarte,Mobilidade,Dev Java|Integra Sistemas Viarios|Tuning,Pleno,150,Java|JBoss|SQL Server,Foco em manutencao corretiva de sistemas viarios
EMP007,Camila Ramos,SuporteOperacional,Analista Suporte Senior|ITIL|Monitoramento,Senior,130,Zabbix|Grafana|ServiceNow,Coordena plantao critico de sistemas SMT
EMP008,Leonardo Brito,SuporteOperacional,Coordenador Operacoes|SLA|Gestao Conhecimento,Senior,90,Jira Service|Confluence|Power BI,Responsavel por cobranca de planos de acao
EMP009,Tania Souza,InfraEstrutura,Engenheira Infra|VMware|Storage,Senior,140,VMware|Veeam|Azure,Planeja capacity de clusters criticos
EMP010,Diego Ferri,InfraEstrutura,Especialista Redes|SD-WAN|Seguranca,Pleno,160,Cisco|Fortinet|Ansible,Lidera esteiras de automacao de redes
EMP011,Helena Carvalho,Urbanismo,Analista Urbanismo|Modelagem Dados|Legislacao Urbana,Senior,100,PostGIS|QGIS|Python,Especialista em dados de edificacoes
EMP012,Vitor Araujo,Urbanismo,Dev Geoprocessamento|API REST|Automacao,Pleno,150,Node.js|ArcGIS|Docker,Responsavel por APIs de cadastros imobiliarios
EMP013,Bianca Salles,CadastroRegistro,Analista Dados Cadastrais|Qualidade Dados|Data Steward,Senior,120,Informatica PowerCenter|Oracle|Python,Conduz projetos de saneamento cadastral
EMP014,Luiz Henrique Prado,CadastroRegistro,Dev Backend|ETL|APIs Cadastro,Pleno,160,Bun|TypeScript|PostgreSQL,Foco em sincronizacao de dados cadastrais
EMP015,Patricia Nunes,Justica,Analista Juridico TI|Gestao Prazos|Documentos,Senior,110,SharePoint|Workflow|Oracle,Experiencia com PGM e integracoes judiciais
EMP016,Gabriel Teixeira,Justica,Dev Backend|Integra Workflow|Automacoes,Pleno,150,Java|Camunda|REST,Construiu rotinas de notificacao judicial
EMP017,Renata Ribeiro,PlataformasDigitais,Product Manager Digital|Roadmaps|OKRs,Senior,100,Next.js|Supabase|Mixpanel,Liderou plataforma de eventos municipais
EMP018,Joao Sergio Lima,PlataformasDigitais,Dev Fullstack|CI/CD|APIs,Senior,140,Bun|Elysia|PostgreSQL,Responsavel por pipelines de deploy web
EMP019,Melissa Costa,SuporteOperacional,Especialista Monitoramento|SRE|Observabilidade,Pleno,160,Prometheus|Grafana|Elastic,Implementou metricas padrao em contratos SMT
EMP020,Eduardo Silveira,Outros,Product Owner|Discovery|Design Sprint,Senior,90,Miro|Figma|Notion,Apoio transversal em discovery de novas demandas
